Time_s,Voltage_V,Current_A,Power_W,Charge_mAh,Charge_Percent,Temp_DTB_C,Temp_TC0_C,Temp_TC1_C,Mode
28.46,3.7239,0.0000,0.0000,0.00,0.00,19.60,2288.38,20.31,SLOW
57.88,3.7239,0.0000,0.0000,0.00,0.00,19.60,2288.38,20.32,SLOW
85.46,3.7239,0.0000,0.0000,0.00,0.00,19.60,2288.38,20.32,SLOW
113.98,3.7239,0.0000,0.0000,0.00,0.00,19.60,2288.37,20.31,SLOW
144.02,3.7239,0.0000,0.0000,0.00,0.00,19.60,2288.38,20.32,SLOW
171.60,3.7239,0.0000,0.0000,0.00,0.00,19.60,2288.38,20.33,SLOW
191.95,3.7239,0.0000,0.0000,0.00,0.00,19.60,2288.40,20.31,SLOW
219.56,3.7239,0.0000,0.0000,0.00,0.00,19.60,2288.39,20.32,SLOW
248.10,3.7239,0.0000,0.0000,0.00,0.00,19.60,2288.38,20.33,SLOW
276.63,3.7239,0.0000,0.0000,0.00,0.00,19.60,2288.39,20.33,SLOW
305.33,3.7239,0.0000,0.0000,0.00,0.00,19.60,2288.39,20.33,SLOW
