# Overcharge EIS Measurement #0
# Timestamp: 0.00 s
# Charge Delivered: 0.00 mAh
# SOC: 0.0 %
# OCV: 3.7260 V
# Temperature (DTB avg): 19.60 C
# Temperature (TC0): 2288.40 C
# Temperature (TC1): 20.31 C
# Retries: 0
#
Frequency_Hz,Z_Real_Ohm,Z_Imag_Ohm,Z_Magnitude_Ohm,Z_Phase_deg
1.000223e+04,2.881145e-02,-2.712721e-02,3.957253e-02,-4.327542e+01
6.811067e+03,2.803755e-02,-1.855720e-02,3.362252e-02,-3.349937e+01
4.641485e+03,2.765819e-02,-1.266336e-02,3.041934e-02,-2.460077e+01
3.161012e+03,2.744924e-02,-8.277381e-03,2.867012e-02,-1.678081e+01
2.155690e+03,2.743790e-02,-5.271486e-03,2.793970e-02,-1.087539e+01
1.468590e+03,2.760312e-02,-3.116702e-03,2.777852e-02,-6.442052e+00
1.000320e+03,2.788697e-02,-1.515459e-03,2.792812e-02,-3.110559e+00
6.810898e+02,2.825735e-02,-3.877550e-04,2.826001e-02,-7.861787e-01
4.639607e+02,2.871491e-02,3.938061e-04,2.871761e-02,7.857245e-01
3.163159e+02,2.923289e-02,9.206623e-04,2.924738e-02,1.803880e+00
2.153446e+02,2.974208e-02,1.202083e-03,2.976636e-02,2.314459e+00
1.467374e+02,3.028002e-02,1.395482e-03,3.031216e-02,2.638662e+00
1.000320e+02,3.079678e-02,1.356372e-03,3.082663e-02,2.521828e+00
6.810398e+01,3.121852e-02,1.267760e-03,3.124426e-02,2.325459e+00
4.644155e+01,3.156997e-02,1.109811e-03,3.158947e-02,2.013346e+00
3.162955e+01,3.184188e-02,9.261463e-04,3.185535e-02,1.666023e+00
2.155172e+01,3.203979e-02,7.914370e-04,3.204956e-02,1.415015e+00
1.468515e+01,3.216684e-02,5.779968e-04,3.217204e-02,1.029421e+00
9.973064e+00,3.228881e-02,4.797455e-04,3.229237e-02,8.512352e-01
6.781684e+00,3.234197e-02,3.955614e-04,3.234439e-02,7.007262e-01
4.687340e+00,3.240616e-02,3.611638e-04,3.240817e-02,6.385300e-01
3.191381e+00,3.244567e-02,3.409127e-04,3.244746e-02,6.019953e-01
2.194074e+00,3.248737e-02,3.489085e-04,3.248925e-02,6.153226e-01
1.495960e+00,3.255125e-02,3.830707e-04,3.255351e-02,6.742389e-01
9.973065e-01,3.261141e-02,4.391540e-04,3.261437e-02,7.715137e-01
6.981145e-01,3.266616e-02,5.350985e-04,3.267054e-02,9.384681e-01
4.986532e-01,3.275310e-02,6.172299e-04,3.275892e-02,1.079607e+00
2.991919e-01,3.292174e-02,8.476648e-04,3.293265e-02,1.474918e+00
1.994613e-01,3.309751e-02,1.040477e-03,3.311386e-02,1.800599e+00
9.973065e-02,3.346292e-02,1.490736e-03,3.349610e-02,2.550778e+00
