Time_s,DTB1_C,DTB2_C,TC0_C,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C,TC6_C,TC7_C,Avg_DTB_C,Avg_TC_C
28.46,19.40,19.80,2288.38,20.31,0.0,0.0,0.0,0.0,0.0,0.0,19.60,1154.34
57.88,19.40,19.80,2288.38,20.32,0.0,0.0,0.0,0.0,0.0,0.0,19.60,1154.35
85.46,19.40,19.80,2288.38,20.32,0.0,0.0,0.0,0.0,0.0,0.0,19.60,1154.35
113.98,19.40,19.80,2288.37,20.31,0.0,0.0,0.0,0.0,0.0,0.0,19.60,1154.34
144.02,19.40,19.80,2288.38,20.32,0.0,0.0,0.0,0.0,0.0,0.0,19.60,1154.35
171.60,19.40,19.80,2288.38,20.33,0.0,0.0,0.0,0.0,0.0,0.0,19.60,1154.36
191.95,19.40,19.80,2288.40,20.31,0.0,0.0,0.0,0.0,0.0,0.0,19.60,1154.36
219.56,19.40,19.80,2288.39,20.32,0.0,0.0,0.0,0.0,0.0,0.0,19.60,1154.36
248.10,19.40,19.80,2288.38,20.33,0.0,0.0,0.0,0.0,0.0,0.0,19.60,1154.36
276.63,19.40,19.80,2288.39,20.33,0.0,0.0,0.0,0.0,0.0,0.0,19.60,1154.36
305.33,19.40,19.80,2288.39,20.33,0.0,0.0,0.0,0.0,0.0,0.0,19.60,1154.36
